city,prov,time,pm25,pmnew
Hinggan League,Inner Mongolia,2017/2/1,18,17.71
Xuchang,Henan,2017/2/1,85,84.1
Yantai,Shandong,2017/2/1,45,45.01
Yanan,Shaanxi,2017/2/1,60,52.51
Yanbian,Jilin,2017/2/1,38,38.02
Yangquan,Shanxi,2017/2/1,69,63.19
Yichun,Heilongjiang,2017/2/1,23,23.53
Yilihasake,Xinjiang,2017/2/1,95,89.74
Yinchuan,Ningxia,2017/2/1,71,62.74
Yingkou,Liaoning,2017/2/1,68,69.37
Yulin,Shaanxi,2017/2/1,45,39.74
Yushu,Qinghai,2017/2/1,23,14.08
Yuncheng,Shanxi,2017/2/1,95,90.45
Zhangjiakou,Hebei,2017/2/1,36,33.57
Zhangye,Gansu,2017/2/1,30,25.54
Changchun,Jilin,2017/2/1,60,60.46
Changzhi,Shanxi,2017/2/1,72,64.22
Zhengzhou,Henan,2017/2/1,92,89.93
Zhongwei,Ningxia,2017/2/1,29,25.3
Zhoukou,Henan,2017/2/1,85,83.82
Zhumadian,Henan,2017/2/1,66,64.85
Zibo,Shandong,2017/2/1,81,79.66
Chifeng,Inner Mongolia,2017/2/1,50,47.33
Jinzhong,Shanxi,2017/2/1,74,67.96
Shuangyashan,Heilongjiang,2017/2/1,37,38.34
Alxa League,Inner Mongolia,2017/3/1,38,37.98
Ankang,Shaanxi,2017/3/1,36,33.55
Anyang,Henan,2017/3/1,71,68.61
Anshan,Liaoning,2017/3/1,75,73.43
Bayannur,Inner Mongolia,2017/3/1,40,35.25
Baicheng,Jilin,2017/3/1,44,43.28
Baotou,Inner Mongolia,2017/3/1,41,36.47
Baoji,Shaanxi,2017/3/1,60,53.71
Baoding,Hebei,2017/3/1,86,84.08
Beijing,Beijing,2017/3/1,63,61.28
Benxi,Liaoning,2017/3/1,62,60.4
Binzhou,Shandong,2017/3/1,76,74.24
Bozhou,Xinjiang,2017/3/1,43,41.98
Cangzhou,Hebei,2017/3/1,68,66.29
Changjizhou,Xinjiang,2017/3/1,83,80.93
Chaoyang,Liaoning,2017/3/1,42,40.79
Chengde,Hebei,2017/3/1,38,35.84
Dalian,Liaoning,2017/3/1,50,48.82
Daqing,Heilongjiang,2017/3/1,39,38.63
Datong,Shanxi,2017/3/1,41,36.28
Daxinganling,Heilongjiang,2017/3/1,15,14.61
Dandong,Liaoning,2017/3/1,66,65.51
Dezhou,Shandong,2017/3/1,70,68.51
Dingxi,Gansu,2017/3/1,41,31.24
Dongying,Shandong,2017/3/1,67,65.52
Ordos,Inner Mongolia,2017/3/1,26,21.88
Fushun,Liaoning,2017/3/1,72,71.09
Fuxin,Liaoning,2017/3/1,46,44.99
Gannan,Gansu,2017/3/1,32,21.84
Guyuan,Ningxia,2017/3/1,25,20.34
Guoluo,Qinghai,2017/3/1,26,16.5
Harbin,Heilongjiang,2017/3/1,56,55.82
Hami,Xinjiang,2017/3/1,23,20.61
Haibei,Qinghai,2017/3/1,34,NA
