city,prov,time,pm25,pmnew
Beijing,Beijing,2017/6/1,42,38.02
Benxi,Liaoning,2017/6/1,28,25.22
Binzhou,Shandong,2017/6/1,58,52.74
Bozhou,Xinjiang,2017/6/1,19,16.6
Cangzhou,Hebei,2017/6/1,51,46.19
Changjizhou,Xinjiang,2017/6/1,22,19.04
Chaoyang,Liaoning,2017/6/1,29,26.01
Chengde,Hebei,2017/6/1,24,20.99
Dalian,Liaoning,2017/6/1,29,26.39
Daqing,Heilongjiang,2017/6/1,18,16.3
Datong,Shanxi,2017/6/1,25,20.46
Daxinganling,Heilongjiang,2017/6/1,12,10.7
Dandong,Liaoning,2017/6/1,25,23.05
Dezhou,Shandong,2017/6/1,52,47.23
Dingxi,Gansu,2017/6/1,22,15.89
Dongying,Shandong,2017/6/1,46,41.83
Ordos,Inner Mongolia,2017/6/1,23,17.97
Fushun,Liaoning,2017/6/1,29,26.39
Fuxin,Liaoning,2017/6/1,27,24.23
Gannan,Gansu,2017/6/1,31,20.37
Guyuan,Ningxia,2017/6/1,23,17.55
Guoluo,Qinghai,2017/6/1,19,11.69
Harbin,Heilongjiang,2017/6/1,24,21.89
Hami,Xinjiang,2017/6/1,22,18.19
Haibei,Qinghai,2017/6/1,22,NA
Haidong,Qinghai,2017/6/1,31,23.32
Hainan,Qinghai,2017/6/1,22,14.87
Haixi,Qinghai,2017/6/1,19,12.45
Handan,Hebei,2017/6/1,68,61.38
Hanzhong,Shaanxi,2017/6/1,32,27.51
Hetian,Xinjiang,2017/6/1,23.25,17.98
Heze,Shandong,2017/6/1,51,46.06
Hegang,Heilongjiang,2017/6/1,16,14.51
Heihe,Heilongjiang,2017/6/1,16,14.56
Hengshui,Hebei,2017/6/1,58,52.49
Hohhot,Inner Mongolia,2017/6/1,26,21.02
Hulunbuir,Inner Mongolia,2017/6/1,18,15.47
Huludao,Liaoning,2017/6/1,43,39.35
Huangnan,Qinghai,2017/6/1,25,17.06
Jixi,Heilongjiang,2017/6/1,24,21.65
Jilin,Jilin,2017/6/1,25,22.6
Jinan,Shandong,2017/6/1,54,48.11
Jining,Shandong,2017/6/1,43,38.92
Jinzhou,Liaoning,2017/6/1,37,33.59
Jincheng,Shanxi,2017/6/1,52,44.19
Jiuquan,Gansu,2017/6/1,20,15.52
Kaifeng,Henan,2017/6/1,40,35.98
Kelamayi,Xinjiang,2017/6/1,15,12.91
Kezilesu,Xinjiang,2017/6/1,19,14.8
Lanzhou,Gansu,2017/6/1,37,27.99
Langfang,Hebei,2017/6/1,45,40.9
Liaocheng,Shandong,2017/6/1,53,47.92
Linxia,Gansu,2017/6/1,21,15.72
Linyi,Shandong,2017/6/1,36,32.35
Longnan,Gansu,2017/6/1,20,16.19
Lvliang,Shanxi,2017/6/1,40,32.95
Luoyang,Henan,2017/6/1,57,49.92
Mudanjiang,Heilongjiang,2017/6/1,19,17.23
Nanyang,Henan,2017/6/1,38,34.15
Panjin,Liaoning,2017/6/1,40,36.69
Pingdingshan,Henan,2017/6/1,49,43.84
Pingliang,Gansu,2017/6/1,18,14.3
Qitaihe,Heilongjiang,2017/6/1,27,24.43
Qiqihaer,Heilongjiang,2017/6/1,18,16.28
Qinhuangdao,Hebei,2017/6/1,34,31.25
Qingdao,Shandong,2017/6/1,23,21.04
Qingyang,Gansu,2017/6/1,25,19.61
Rizhao,Shandong,2017/6/1,31,28.43
Sanmenxia,Henan,2017/6/1,39,33.82
Shangluo,Shaanxi,2017/6/1,29,24.47
Shangqiu,Henan,2017/6/1,44,39.83
Shenyang,Liaoning,2017/6/1,34,31.02
Shihezi,Xinjiang,2017/6/1,17,14.7
Shijiazhuang,Hebei,2017/6/1,55,49.33
Shuozhou,Shanxi,2017/6/1,34,27.62
Siping,Jilin,2017/6/1,30,27.18
Songyuan,Jilin,2017/6/1,18,16.31
Suihua,Heilongjiang,2017/6/1,16,14.49
Taiyuan,Shanxi,2017/6/1,43,36.05
Taian,Shandong,2017/6/1,44,34.62
Tangshan,Hebei,2017/6/1,49,44.58
Tianjin,Tianjin,2017/6/1,46,41.71
Tianshui,Gansu,2017/6/1,20,16.24
Tieling,Liaoning,2017/6/1,33,30.01
Tonghua,Jilin,2017/6/1,24,21.28
Tongliao,Inner Mongolia,2017/6/1,29,25.98
Tongchuan,Shaanxi,2017/6/1,32,26.95
Tulufan,Xinjiang,2017/6/1,24,21
Weihai,Shandong,2017/6/1,24,21.86
Weifang,Shandong,2017/6/1,40,36.37
Weinan,Shaanxi,2017/6/1,34,29.63
Wuhai,Inner Mongolia,2017/6/1,36,28.98
Ulanqab,Inner Mongolia,2017/6/1,25,19.72
Wulumuqi,Xinjiang,2017/6/1,21,17.31
Wuzhong,Ningxia,2017/6/1,31,24.87
Wuwei,Gansu,2017/6/1,25,18.32
Xining,Qinghai,2017/6/1,21,15.1
Xilingol League,Inner Mongolia,2017/6/1,13,10.71
Xianyang,Shaanxi,2017/6/1,40,34.42
Xinzhou,Shanxi,2017/6/1,38,31.72
Xinxiang,Henan,2017/6/1,48,43.14
Xinyang,Henan,2017/6/1,38,34.08
Xingtai,Hebei,2017/6/1,53,47.84
Hinggan League,Inner Mongolia,2017/6/1,19,16.6
Xuchang,Henan,2017/6/1,39,35.26
Yantai,Shandong,2017/6/1,28,25.5
Yanan,Shaanxi,2017/6/1,33,26.54
Yanbian,Jilin,2017/6/1,14,12.69
Yangquan,Shanxi,2017/6/1,49,41.19
Yichun,Heilongjiang,2017/6/1,10,9.05
Yilihasake,Xinjiang,2017/6/1,22,18.72
Yinchuan,Ningxia,2017/6/1,35,28.17
Yingkou,Liaoning,2017/6/1,36,33.05
Yulin,Shaanxi,2017/6/1,28,22.55
Yushu,Qinghai,2017/6/1,10,5.89
Yuncheng,Shanxi,2017/6/1,42,36.51
Zhangjiakou,Hebei,2017/6/1,30,25.21
Zhangye,Gansu,2017/6/1,16,12.42
Changchun,Jilin,2017/6/1,24,21.59
Changzhi,Shanxi,2017/6/1,48,39.58
Zhengzhou,Henan,2017/6/1,43,38.43
Zhongwei,Ningxia,2017/6/1,27,21.52
Zhoukou,Henan,2017/6/1,34,30.68
Zhumadian,Henan,2017/6/1,36,32.51
Zibo,Shandong,2017/6/1,55,49.18
Chifeng,Inner Mongolia,2017/6/1,24,20.54
Jinzhong,Shanxi,2017/6/1,46,38.71
Shuangyashan,Heilongjiang,2017/6/1,23,21.18
Alxa League,Inner Mongolia,2017/7/1,34,30.79
Ankang,Shaanxi,2017/7/1,19,16.42
Anyang,Henan,2017/7/1,51,45.59
Anshan,Liaoning,2017/7/1,31,27.67
Bayannur,Inner Mongolia,2017/7/1,34,27.31
Baicheng,Jilin,2017/7/1,21,18.68
Baotou,Inner Mongolia,2017/7/1,32,25.84
Baoji,Shaanxi,2017/7/1,26,21.35
Baoding,Hebei,2017/7/1,55,49.44
Beijing,Beijing,2017/7/1,52,46.61
Benxi,Liaoning,2017/7/1,25,22.17
Binzhou,Shandong,2017/7/1,52,46.72
Bozhou,Xinjiang,2017/7/1,19,16.37
Cangzhou,Hebei,2017/7/1,48,43.08
Changjizhou,Xinjiang,2017/7/1,27,23.12
Chaoyang,Liaoning,2017/7/1,29,25.69
Chengde,Hebei,2017/7/1,31,26.81
Dalian,Liaoning,2017/7/1,27,24.22
Daqing,Heilongjiang,2017/7/1,20,17.84
Datong,Shanxi,2017/7/1,31,25.1
Daxinganling,Heilongjiang,2017/7/1,13,11.47
Dandong,Liaoning,2017/7/1,20,18.17
Dezhou,Shandong,2017/7/1,56,50.29
Dingxi,Gansu,2017/7/1,17,12.08
Dongying,Shandong,2017/7/1,39,35.03
Ordos,Inner Mongolia,2017/7/1,28,21.58
Fushun,Liaoning,2017/7/1,28,25.09
Fuxin,Liaoning,2017/7/1,33,29.22
Gannan,Gansu,2017/7/1,25,16.2
Guyuan,Ningxia,2017/7/1,27,20.29
Guoluo,Qinghai,2017/7/1,22,13.38
Harbin,Heilongjiang,2017/7/1,21,18.83
Hami,Xinjiang,2017/7/1,21,17.23
Haibei,Qinghai,2017/7/1,26,NA
Haidong,Qinghai,2017/7/1,33,24.39
Hainan,Qinghai,2017/7/1,24,15.96
Haixi,Qinghai,2017/7/1,21,13.53
Handan,Hebei,2017/7/1,66,58.92
Hanzhong,Shaanxi,2017/7/1,23,19.46
Hetian,Xinjiang,2017/7/1,20.5,15.89
Heze,Shandong,2017/7/1,39,34.82
Hegang,Heilongjiang,2017/7/1,20,17.77
Heihe,Heilongjiang,2017/7/1,17,15.27
Hengshui,Hebei,2017/7/1,62,55.53
Hohhot,Inner Mongolia,2017/7/1,28,22.32
Hulunbuir,Inner Mongolia,2017/7/1,16,13.59
Huludao,Liaoning,2017/7/1,42,38.01
Huangnan,Qinghai,2017/7/1,26,17.42
Jixi,Heilongjiang,2017/7/1,27,23.93
Jilin,Jilin,2017/7/1,27,24
Jinan,Shandong,2017/7/1,51,44.95
Jining,Shandong,2017/7/1,32,28.56
Jinzhou,Liaoning,2017/7/1,34,30.48
Jincheng,Shanxi,2017/7/1,58,48.63
Jiuquan,Gansu,2017/7/1,15,11.54
Kaifeng,Henan,2017/7/1,34,30.25
Kelamayi,Xinjiang,2017/7/1,18,15.31
Kezilesu,Xinjiang,2017/7/1,14,10.91
Lanzhou,Gansu,2017/7/1,30,22.3
Langfang,Hebei,2017/7/1,52,46.84
Liaocheng,Shandong,2017/7/1,48,42.99
Linxia,Gansu,2017/7/1,17,12.5
Linyi,Shandong,2017/7/1,28,24.8
Longnan,Gansu,2017/7/1,18,14.31
Lvliang,Shanxi,2017/7/1,39,31.72
Luoyang,Henan,2017/7/1,51,44.08
Mudanjiang,Heilongjiang,2017/7/1,20,17.83
Nanyang,Henan,2017/7/1,28,24.75
Panjin,Liaoning,2017/7/1,30,27.14
Pingdingshan,Henan,2017/7/1,36,31.77
Pingliang,Gansu,2017/7/1,18,14.06
Qitaihe,Heilongjiang,2017/7/1,23,20.45
Qiqihaer,Heilongjiang,2017/7/1,19,16.9
Qinhuangdao,Hebei,2017/7/1,33,29.93
Qingdao,Shandong,2017/7/1,28,25.11
Qingyang,Gansu,2017/7/1,21,16.22
Rizhao,Shandong,2017/7/1,35,31.43
Sanmenxia,Henan,2017/7/1,45,38.46
Shangluo,Shaanxi,2017/7/1,24,19.93
Shangqiu,Henan,2017/7/1,43,38.43
Shenyang,Liaoning,2017/7/1,31,27.88
Shihezi,Xinjiang,2017/7/1,20,17.1
Shijiazhuang,Hebei,2017/7/1,59,52.34
Shuozhou,Shanxi,2017/7/1,36,28.89
Siping,Jilin,2017/7/1,33,29.47
Songyuan,Jilin,2017/7/1,20,17.87
Suihua,Heilongjiang,2017/7/1,13,11.6
Taiyuan,Shanxi,2017/7/1,47,38.83
Taian,Shandong,2017/7/1,35,27.2
Tangshan,Hebei,2017/7/1,46,41.34
Tianjin,Tianjin,2017/7/1,52,46.73
Tianshui,Gansu,2017/7/1,16,12.75
Tieling,Liaoning,2017/7/1,35,31.4
Tonghua,Jilin,2017/7/1,23,20.03
Tongliao,Inner Mongolia,2017/7/1,37,32.73
Tongchuan,Shaanxi,2017/7/1,37,30.65
Tulufan,Xinjiang,2017/7/1,32,27.67
Weihai,Shandong,2017/7/1,27,24.22
Weifang,Shandong,2017/7/1,42,37.61
Weinan,Shaanxi,2017/7/1,32,27.41
Wuhai,Inner Mongolia,2017/7/1,39,31.08
Ulanqab,Inner Mongolia,2017/7/1,26,20.23
Wulumuqi,Xinjiang,2017/7/1,22,17.87
Wuzhong,Ningxia,2017/7/1,30,23.8
Wuwei,Gansu,2017/7/1,19,13.8
Xining,Qinghai,2017/7/1,24,16.96
Xilingol League,Inner Mongolia,2017/7/1,14,11.34
Xianyang,Shaanxi,2017/7/1,36,30.41
Xinzhou,Shanxi,2017/7/1,43,35.57
Xinxiang,Henan,2017/7/1,39,34.63
Xinyang,Henan,2017/7/1,28,24.75
Xingtai,Hebei,2017/7/1,57,50.88
Hinggan League,Inner Mongolia,2017/7/1,15,12.96
Xuchang,Henan,2017/7/1,32,28.53
Yantai,Shandong,2017/7/1,29,25.99
Yanan,Shaanxi,2017/7/1,35,27.84
Yanbian,Jilin,2017/7/1,19,16.9
Yangquan,Shanxi,2017/7/1,51,42.37
Yichun,Heilongjiang,2017/7/1,11,9.8
Yilihasake,Xinjiang,2017/7/1,26,21.83
Yinchuan,Ningxia,2017/7/1,33,26.28
Yingkou,Liaoning,2017/7/1,27,24.43
Yulin,Shaanxi,2017/7/1,29,23.04
Yushu,Qinghai,2017/7/1,12,7
Yuncheng,Shanxi,2017/7/1,44,37.65
Zhangjiakou,Hebei,2017/7/1,38,31.61
Zhangye,Gansu,2017/7/1,11,8.48
Changchun,Jilin,2017/7/1,24,21.24
Changzhi,Shanxi,2017/7/1,48,39.13
Zhengzhou,Henan,2017/7/1,40,35.31
Zhongwei,Ningxia,2017/7/1,24,18.92
Zhoukou,Henan,2017/7/1,28,24.96
Zhumadian,Henan,2017/7/1,26,23.11
Zibo,Shandong,2017/7/1,48,42.52
Chifeng,Inner Mongolia,2017/7/1,28,23.62
Jinzhong,Shanxi,2017/7/1,45,37.32
Shuangyashan,Heilongjiang,2017/7/1,24,21.69
Alxa League,Inner Mongolia,2017/8/1,21,19.3
Ankang,Shaanxi,2017/8/1,21,18.26
Anyang,Henan,2017/8/1,51,45.97
Anshan,Liaoning,2017/8/1,22,19.83
Bayannur,Inner Mongolia,2017/8/1,25,20.38
Baicheng,Jilin,2017/8/1,16,14.43
Baotou,Inner Mongolia,2017/8/1,26,21.32
Baoji,Shaanxi,2017/8/1,26,21.77
Baoding,Hebei,2017/8/1,49,44.46
Beijing,Beijing,2017/8/1,38,34.33
Benxi,Liaoning,2017/8/1,18,16.14
Binzhou,Shandong,2017/8/1,37,33.51
Bozhou,Xinjiang,2017/8/1,18,15.81
Cangzhou,Hebei,2017/8/1,39,35.27
Changjizhou,Xinjiang,2017/8/1,22,19.19
Chaoyang,Liaoning,2017/8/1,23,20.64
Chengde,Hebei,2017/8/1,21,18.37
Dalian,Liaoning,2017/8/1,16,14.42
Daqing,Heilongjiang,2017/8/1,19,17.19
Datong,Shanxi,2017/8/1,26,21.36
Daxinganling,Heilongjiang,2017/8/1,14,12.47
Dandong,Liaoning,2017/8/1,15,13.7
Dezhou,Shandong,2017/8/1,42,38.05
Dingxi,Gansu,2017/8/1,16,11.56
Dongying,Shandong,2017/8/1,30,27.1
Ordos,Inner Mongolia,2017/8/1,23,17.97
Fushun,Liaoning,2017/8/1,22,19.93
Fuxin,Liaoning,2017/8/1,25,22.47
Gannan,Gansu,2017/8/1,19,12.42
Guyuan,Ningxia,2017/8/1,22,16.85
Guoluo,Qinghai,2017/8/1,28,17.04
Harbin,Heilongjiang,2017/8/1,16,14.5
Hami,Xinjiang,2017/8/1,18,14.99
Haibei,Qinghai,2017/8/1,21,NA
Haidong,Qinghai,2017/8/1,34,25.62
Hainan,Qinghai,2017/8/1,17,11.43
Haixi,Qinghai,2017/8/1,18,11.7
Handan,Hebei,2017/8/1,63,56.75
Hanzhong,Shaanxi,2017/8/1,22,18.75
Hetian,Xinjiang,2017/8/1,19,14.81
Heze,Shandong,2017/8/1,38,34.16
Hegang,Heilongjiang,2017/8/1,16,14.37
Heihe,Heilongjiang,2017/8/1,21,19.07
Hengshui,Hebei,2017/8/1,50,45.19
Hohhot,Inner Mongolia,2017/8/1,25,20.21
Hulunbuir,Inner Mongolia,2017/8/1,22,18.98
Huludao,Liaoning,2017/8/1,26,23.71
Huangnan,Qinghai,2017/8/1,22,14.97
Jixi,Heilongjiang,2017/8/1,21,18.81
Jilin,Jilin,2017/8/1,14,12.55
Jinan,Shandong,2017/8/1,37,32.83
Jining,Shandong,2017/8/1,32,28.75
Jinzhou,Liaoning,2017/8/1,26,23.5
Jincheng,Shanxi,2017/8/1,55,46.49
Jiuquan,Gansu,2017/8/1,19,14.77
Kaifeng,Henan,2017/8/1,37,33.15
Kelamayi,Xinjiang,2017/8/1,16,13.85
Kezilesu,Xinjiang,2017/8/1,15,11.81
Lanzhou,Gansu,2017/8/1,30,22.73
Langfang,Hebei,2017/8/1,33,29.95
Liaocheng,Shandong,2017/8/1,41,36.96
Linxia,Gansu,2017/8/1,15,11.23
Linyi,Shandong,2017/8/1,25,22.33
Longnan,Gansu,2017/8/1,15,12.06
Lvliang,Shanxi,2017/8/1,37,30.52
Luoyang,Henan,2017/8/1,51,44.44
Mudanjiang,Heilongjiang,2017/8/1,18,16.18
Nanyang,Henan,2017/8/1,30,26.67
Panjin,Liaoning,2017/8/1,22,20.02
Pingdingshan,Henan,2017/8/1,40,35.6
Pingliang,Gansu,2017/8/1,16,12.73
Qitaihe,Heilongjiang,2017/8/1,18,16.17
Qiqihaer,Heilongjiang,2017/8/1,21,18.98
Qinhuangdao,Hebei,2017/8/1,23,20.97
Qingdao,Shandong,2017/8/1,18,16.17
Qingyang,Gansu,2017/8/1,20,15.73
Rizhao,Shandong,2017/8/1,24,21.66
Sanmenxia,Henan,2017/8/1,41,35.42
Shangluo,Shaanxi,2017/8/1,25,20.96
Shangqiu,Henan,2017/8/1,34,30.63
Shenyang,Liaoning,2017/8/1,25,22.75
Shihezi,Xinjiang,2017/8/1,16,13.92
Shijiazhuang,Hebei,2017/8/1,50,44.77
Shuozhou,Shanxi,2017/8/1,29,23.61
Siping,Jilin,2017/8/1,23,20.77
Songyuan,Jilin,2017/8/1,15,13.54
Suihua,Heilongjiang,2017/8/1,14,12.64
Taiyuan,Shanxi,2017/8/1,47,39.34
Taian,Shandong,2017/8/1,29,22.68
Tangshan,Hebei,2017/8/1,36,32.65
Tianjin,Tianjin,2017/8/1,37,33.47
Tianshui,Gansu,2017/8/1,16,12.95
Tieling,Liaoning,2017/8/1,23,20.89
Tonghua,Jilin,2017/8/1,14,12.32
Tongliao,Inner Mongolia,2017/8/1,21,18.87
Tongchuan,Shaanxi,2017/8/1,33,27.76
Tulufan,Xinjiang,2017/8/1,28,24.65
Weihai,Shandong,2017/8/1,15,13.55
Weifang,Shandong,2017/8/1,31,28
Weinan,Shaanxi,2017/8/1,33,28.7
Wuhai,Inner Mongolia,2017/8/1,31,25.04
Ulanqab,Inner Mongolia,2017/8/1,21,16.57
Wulumuqi,Xinjiang,2017/8/1,18,14.9
Wuzhong,Ningxia,2017/8/1,27,21.79
Wuwei,Gansu,2017/8/1,20,14.7
Xining,Qinghai,2017/8/1,19,13.62
Xilingol League,Inner Mongolia,2017/8/1,11,9.06
Xianyang,Shaanxi,2017/8/1,37,31.81
Xinzhou,Shanxi,2017/8/1,35,29.25
Xinxiang,Henan,2017/8/1,44,39.36
Xinyang,Henan,2017/8/1,30,26.72
Xingtai,Hebei,2017/8/1,50,45.04
Hinggan League,Inner Mongolia,2017/8/1,14,12.27
Xuchang,Henan,2017/8/1,36,32.35
Yantai,Shandong,2017/8/1,18,16.26
Yanan,Shaanxi,2017/8/1,29,23.43
Yanbian,Jilin,2017/8/1,11,9.87
Yangquan,Shanxi,2017/8/1,47,39.45
Yichun,Heilongjiang,2017/8/1,12,10.77
Yilihasake,Xinjiang,2017/8/1,24,20.48
Yinchuan,Ningxia,2017/8/1,30,24.24
Yingkou,Liaoning,2017/8/1,20,18.2
Yulin,Shaanxi,2017/8/1,25,20.2
Yushu,Qinghai,2017/8/1,11,6.41
Yuncheng,Shanxi,2017/8/1,44,38.18
Zhangjiakou,Hebei,2017/8/1,22,18.5
Zhangye,Gansu,2017/8/1,9,7
Changchun,Jilin,2017/8/1,15,13.43
Changzhi,Shanxi,2017/8/1,50,41.08
Zhengzhou,Henan,2017/8/1,42,37.39
Zhongwei,Ningxia,2017/8/1,19,15.21
Zhoukou,Henan,2017/8/1,30,26.92
Zhumadian,Henan,2017/8/1,28,25.1
Zibo,Shandong,2017/8/1,40,35.71
Chifeng,Inner Mongolia,2017/8/1,20,17.1
Jinzhong,Shanxi,2017/8/1,44,36.95
Shuangyashan,Heilongjiang,2017/8/1,19,17.35
Alxa League,Inner Mongolia,2017/9/1,27,25.18
Ankang,Shaanxi,2017/9/1,23,20.57
Anyang,Henan,2017/9/1,52,47.52
Anshan,Liaoning,2017/9/1,32,29.41
Bayannur,Inner Mongolia,2017/9/1,21,17.42
Baicheng,Jilin,2017/9/1,17,15.72
Baotou,Inner Mongolia,2017/9/1,29,24.2
Baoji,Shaanxi,2017/9/1,36,30.73
Baoding,Hebei,2017/9/1,66,60.9
Beijing,Beijing,2017/9/1,58,53.22
Benxi,Liaoning,2017/9/1,25,22.91
Binzhou,Shandong,2017/9/1,49,45.05
Bozhou,Xinjiang,2017/9/1,24,21.58
Cangzhou,Hebei,2017/9/1,49,44.94
Changjizhou,Xinjiang,2017/9/1,26,23.24
Chaoyang,Liaoning,2017/9/1,36,32.97
Chengde,Hebei,2017/9/1,29,25.83
Dalian,Liaoning,2017/9/1,27,24.7
Daqing,Heilongjiang,2017/9/1,17,15.79
Datong,Shanxi,2017/9/1,35,29.28
Daxinganling,Heilongjiang,2017/9/1,10,9.16
Dandong,Liaoning,2017/9/1,24,22.4
Dezhou,Shandong,2017/9/1,45,41.5
Dingxi,Gansu,2017/9/1,22,16.09
Dongying,Shandong,2017/9/1,43,39.46
Ordos,Inner Mongolia,2017/9/1,23,18.26
Fushun,Liaoning,2017/9/1,25,23.2
Fuxin,Liaoning,2017/9/1,29,26.64
Gannan,Gansu,2017/9/1,21,13.9
Guyuan,Ningxia,2017/9/1,31,24.06
Guoluo,Qinghai,2017/9/1,22,13.58
Harbin,Heilongjiang,2017/9/1,21,19.56
Hami,Xinjiang,2017/9/1,21,17.93
Haibei,Qinghai,2017/9/1,25,NA
Haidong,Qinghai,2017/9/1,29,22.12
Hainan,Qinghai,2017/9/1,17,11.61
Haixi,Qinghai,2017/9/1,20,13.24
Handan,Hebei,2017/9/1,74,67.51
Hanzhong,Shaanxi,2017/9/1,24,20.99
Hetian,Xinjiang,2017/9/1,21.25,16.7
Heze,Shandong,2017/9/1,51,46.79
Hegang,Heilongjiang,2017/9/1,16,14.73
Heihe,Heilongjiang,2017/9/1,16,14.91
Hengshui,Hebei,2017/9/1,54,49.49
Hohhot,Inner Mongolia,2017/9/1,28,23.03
Hulunbuir,Inner Mongolia,2017/9/1,12,10.65
Huludao,Liaoning,2017/9/1,32,29.74
Huangnan,Qinghai,2017/9/1,22,15.17
Jixi,Heilongjiang,2017/9/1,21,19.23
Jilin,Jilin,2017/9/1,18,16.55
Jinan,Shandong,2017/9/1,39,35.12
Jining,Shandong,2017/9/1,38,34.88
Jinzhou,Liaoning,2017/9/1,31,28.56
Jincheng,Shanxi,2017/9/1,64,55.32
Jiuquan,Gansu,2017/9/1,19,15.03
Kaifeng,Henan,2017/9/1,46,42.01
Kelamayi,Xinjiang,2017/9/1,20,17.78
Kezilesu,Xinjiang,2017/9/1,12,9.53
Lanzhou,Gansu,2017/9/1,39,29.96
Langfang,Hebei,2017/9/1,51,47.06
Liaocheng,Shandong,2017/9/1,48,44
Linxia,Gansu,2017/9/1,17,12.89
Linyi,Shandong,2017/9/1,30,27.33
Longnan,Gansu,2017/9/1,18,14.72
Lvliang,Shanxi,2017/9/1,42,35.2
Luoyang,Henan,2017/9/1,46,40.93
Mudanjiang,Heilongjiang,2017/9/1,18,16.59
Nanyang,Henan,2017/9/1,32,29.18
Panjin,Liaoning,2017/9/1,33,30.67
Pingdingshan,Henan,2017/9/1,46,41.89
Pingliang,Gansu,2017/9/1,26,20.98
Qitaihe,Heilongjiang,2017/9/1,19,17.47
Qiqihaer,Heilongjiang,2017/9/1,17,15.79
Qinhuangdao,Hebei,2017/9/1,32,29.67
Qingdao,Shandong,2017/9/1,23,21.03
Qingyang,Gansu,2017/9/1,28,22.37
Rizhao,Shandong,2017/9/1,29,26.65
Sanmenxia,Henan,2017/9/1,42,37.19
Shangluo,Shaanxi,2017/9/1,25,21.45
Shangqiu,Henan,2017/9/1,39,35.87
Shenyang,Liaoning,2017/9/1,32,29.81
Shihezi,Xinjiang,2017/9/1,24,21.37
Shijiazhuang,Hebei,2017/9/1,66,59.93
Shuozhou,Shanxi,2017/9/1,39,32.26
Siping,Jilin,2017/9/1,27,24.95
Songyuan,Jilin,2017/9/1,14,12.98
Suihua,Heilongjiang,2017/9/1,10,9.28
Taiyuan,Shanxi,2017/9/1,61,51.95
Taian,Shandong,2017/9/1,38,30.18
Tangshan,Hebei,2017/9/1,54,49.78
Tianjin,Tianjin,2017/9/1,54,49.66
Tianshui,Gansu,2017/9/1,21,17.3
Tieling,Liaoning,2017/9/1,27,25.06
Tonghua,Jilin,2017/9/1,24,21.65
Tongliao,Inner Mongolia,2017/9/1,23,21.1
Tongchuan,Shaanxi,2017/9/1,40,34.33
Tulufan,Xinjiang,2017/9/1,22,19.81
Weihai,Shandong,2017/9/1,22,20.17
Weifang,Shandong,2017/9/1,42,38.62
Weinan,Shaanxi,2017/9/1,44,39.23
Wuhai,Inner Mongolia,2017/9/1,34,27.86
Ulanqab,Inner Mongolia,2017/9/1,23,18.45
Wulumuqi,Xinjiang,2017/9/1,23,19.43
Wuzhong,Ningxia,2017/9/1,31,25.3
Wuwei,Gansu,2017/9/1,24,17.84
Xining,Qinghai,2017/9/1,21,15.3
Xilingol League,Inner Mongolia,2017/9/1,12,10.07
Xianyang,Shaanxi,2017/9/1,49,43.12
Xinzhou,Shanxi,2017/9/1,53,44.94
Xinxiang,Henan,2017/9/1,51,46.48
Xinyang,Henan,2017/9/1,28,25.53
Xingtai,Hebei,2017/9/1,66,60.22
Hinggan League,Inner Mongolia,2017/9/1,10,8.99
Xuchang,Henan,2017/9/1,43,39.52
Yantai,Shandong,2017/9/1,27,24.82
Yanan,Shaanxi,2017/9/1,34,27.84
Yanbian,Jilin,2017/9/1,15,13.73
Yangquan,Shanxi,2017/9/1,65,55.31
Yichun,Heilongjiang,2017/9/1,11,10.15
Yilihasake,Xinjiang,2017/9/1,34,29.51
Yinchuan,Ningxia,2017/9/1,30,24.57
Yingkou,Liaoning,2017/9/1,35,32.5
Yulin,Shaanxi,2017/9/1,27,22.11
Yushu,Qinghai,2017/9/1,9,5.31
Yuncheng,Shanxi,2017/9/1,44,39.09
Zhangjiakou,Hebei,2017/9/1,25,21.39
Zhangye,Gansu,2017/9/1,13,10.29
Changchun,Jilin,2017/9/1,17,15.57
Changzhi,Shanxi,2017/9/1,53,44.3
Zhengzhou,Henan,2017/9/1,44,39.98
Zhongwei,Ningxia,2017/9/1,28,22.67
Zhoukou,Henan,2017/9/1,34,31.2
Zhumadian,Henan,2017/9/1,36,32.99
Zibo,Shandong,2017/9/1,44,39.89
Chifeng,Inner Mongolia,2017/9/1,25,21.76
Jinzhong,Shanxi,2017/9/1,57,48.67
Shuangyashan,Heilongjiang,2017/9/1,17,15.93
Alxa League,Inner Mongolia,2017/10/1,34,33.27
Ankang,Shaanxi,2017/10/1,24,22.11
Anyang,Henan,2017/10/1,48,45.69
Anshan,Liaoning,2017/10/1,46,44.13
Bayannur,Inner Mongolia,2017/10/1,37,32.06
Baicheng,Jilin,2017/10/1,39,37.69
Baotou,Inner Mongolia,2017/10/1,47,40.93
Baoji,Shaanxi,2017/10/1,43,38.01
Baoding,Hebei,2017/10/1,63,60.8
Beijing,Beijing,2017/10/1,57,54.79
Benxi,Liaoning,2017/10/1,37,35.35
Binzhou,Shandong,2017/10/1,60,57.64
Bozhou,Xinjiang,2017/10/1,34,32.04
Cangzhou,Hebei,2017/10/1,64,61.46
Changjizhou,Xinjiang,2017/10/1,45,42.07
Chaoyang,Liaoning,2017/10/1,41,39.15
Chengde,Hebei,2017/10/1,34,31.64
Dalian,Liaoning,2017/10/1,26,24.73
Daqing,Heilongjiang,2017/10/1,37,35.89
Datong,Shanxi,2017/10/1,41,35.64
